;kappa1;kappa2;gauss_curvature;mean_curvature;shape_index;curvedness;triangleAreas
192;-0.488605676792;-0.583402437336;0.285053742737;-0.536004057064;-0.943850312298;0.538095675175;0.136859885052
193;-0.374524685951;-0.559394824781;0.209507171073;-0.466959755366;-0.875588946221;0.476020645759;0.153986193369
194;-0.522607090905;-0.57553397471;0.30077813624;-0.549070532807;-0.969340690165;0.549707889478;0.119688178075
195;-0.525740123384;-0.581176340902;0.305547721173;-0.553458232143;-0.968143638959;0.55415188196;0.119343428182
196;-0.290482804961;-0.478832469346;0.139092598802;-0.384657637154;-0.847144605277;0.39601817741;0.116791550835
197;-0.302809315603;-0.429721853754;0.130123780435;-0.366265584679;-0.890788406496;0.371721907621;0.12578223907
198;-0.33170328488;-0.538238400681;0.178535445554;-0.434970842781;-0.851605800215;0.447061318595;0.13012081842
199;-0.247492909403;-0.494932929708;0.122492390733;-0.371212919555;-0.795194446686;0.391287199582;0.118067545549
200;-0.428107696224;-0.580478946335;0.248507504422;-0.50429332128;-0.904545117243;0.51001568932;0.127707221549
201;-0.273194772147;-0.464208067132;0.126819217129;-0.36870141964;-0.838639716248;0.380870393388;0.128952603306
202;-0.448405355023;-0.591736358272;0.265337751811;-0.520070856647;-0.912823141733;0.524985371279;0.114810741634
203;-0.490642422038;-0.583536861661;0.286307939154;-0.53708964185;-0.945082101483;0.539094265978;0.127640579443
204;-0.218618227841;-0.323653644295;0.0707565861499;-0.271135936068;-0.878198153984;0.27617531661;0.128796434927
205;-0.344740189887;-0.570911505606;0.196816140852;-0.457825847747;-0.845837015076;0.47158548841;0.132204635903
206;-0.319630490215;-0.536276017474;0.171410166356;-0.427953253845;-0.842174768799;0.441449667116;0.120269902467
207;-0.525368867814;-0.585525114407;0.307616666433;-0.555446991111;-0.965559910087;0.556260778264;0.117179698034
208;-0.281419299971;-0.387346593712;0.109006807249;-0.334382946842;-0.899995187846;0.338551477664;0.12275689063
209;-0.308786933417;-0.522610659879;0.161375343035;-0.415698796648;-0.839743493807;0.429226788579;0.117433222967
210;-0.25471707908;-0.515227139403;0.131237152011;-0.384972109241;-0.792297655769;0.406410996131;0.130343834184
211;-0.501260870607;-0.554442628659;0.277920394743;-0.527851749633;-0.967956947271;0.528521091763;0.113393266232
212;-0.429325620846;-0.568116168478;0.243906826745;-0.498720894662;-0.911981737099;0.50352580351;0.121416948224
213;-0.497153584643;-0.588543780566;0.292596650228;-0.542848682605;-0.946537615392;0.54476851431;0.116749350135
214;-0.25353318265;-0.410423527891;0.104055983261;-0.33197835527;-0.852278860819;0.341120614263;0.127757761072
215;-0.255408610883;-0.463867693189;0.118475803151;-0.359638152036;-0.820416338298;0.374437441569;0.119867705942
216;-0.229218952892;-0.36826198836;0.0844126273617;-0.298740470626;-0.854439526985;0.306723181742;0.121666069883
217;-0.277554367602;-0.340445138366;0.0944920350822;-0.308999752984;-0.935436599802;0.310595652909;0.127324784026
218;-0.238112574071;-0.416687260313;0.0992184761356;-0.327399917192;-0.830505094106;0.339356649292;0.118839810959
219;-0.246558985752;-0.440687733922;0.108655520709;-0.343623359837;-0.824738206208;0.357069329602;0.122453050033
220;-0.317313011885;-0.503378876481;0.159728667415;-0.410345944183;-0.858066044488;0.420759932027;0.119623104881
221;-0.33194192231;-0.499640108886;0.165851498207;-0.415791015598;-0.873317269493;0.424161336165;0.123928069117
222;-0.310047197662;-0.451429633097;0.139964492683;-0.380738415379;-0.883130432028;0.387245386297;0.118887664382
223;-0.360489425764;-0.490994035679;0.176998157976;-0.425741730722;-0.903180411601;0.430713227775;0.117745773201
224;-0.373476589662;-0.494543381515;0.184700375568;-0.434009985588;-0.911776808732;0.438211090244;0.118280384104
225;-0.358625990466;-0.493652864274;0.177036747397;-0.42613942737;-0.899971461795;0.4314543727;0.13943281427
226;-0.198825981896;-0.378739862074;0.0753033249599;-0.288782921985;-0.807755520195;0.302469547393;0.125190418963
227;-0.306614883471;-0.40070558957;0.122862297652;-0.35366023652;-0.915808474382;0.356775599136;0.11912905122
228;-0.362076738177;-0.416725449627;0.150886591516;-0.389401093902;-0.955401361462;0.390358594561;0.133233523063
229;-0.327836146601;-0.422343442601;0.138459446764;-0.375089794601;-0.920219211384;0.37805457445;0.112627437616
230;-0.283836596922;-0.430270415264;0.122126490425;-0.357053506093;-0.871240545091;0.364483088773;0.117833798464
231;-0.24887317131;-0.409160920345;0.101829175822;-0.329017045827;-0.847890718131;0.338637353326;0.120072432642
232;-0.268894211664;-0.427497855156;0.11495169875;-0.34819603341;-0.857441184636;0.357112386532;0.118859326656
233;-0.360358197901;-0.448602132981;0.161657456216;-0.404480165441;-0.930829007703;0.406879530395;0.125121079959
234;-0.347599797686;-0.488112691887;0.169667872948;-0.417856244787;-0.89395352009;0.423721382121;0.128405317139
235;-0.229218302157;-0.34921107686;0.0800455701324;-0.289214689509;-0.869782816773;0.295372143444;0.119325007524
236;-0.208378661844;-0.357196046677;0.0744320342227;-0.282787354261;-0.836201652329;0.292412963524;0.121709377617
237;-0.350644905887;-0.497420382639;0.174417923257;-0.424032644263;-0.890900343098;0.43033643065;0.134725757192
238;-0.202086559317;-0.393278559546;0.0794763109518;-0.297682559432;-0.802182311769;0.312655563564;0.126275142472
